resistance_rank,plot_group,avg_pred_damage,avg_true_damage,image_count,genotype,location,experiment,split
119,35_R4S_151_Ontario_6_2,5.002268552780151,3.125,2,Ontario,Gross-Gerau,Insects,test
120,8_R4S_184_NK Nemax_2_5,5.011259476343791,3.5833333333333335,3,NK Nemax,Gross-Gerau,Insects,val
121,195_R4S_367_English Giant_33_3,5.026048898696899,5.75,3,English Giant,Gross-Gerau,Insects,test
122,260_R4S_449_G50_44_5,5.036842505137126,4.25,3,G50,Gross-Gerau,Insects,train
123,22_R4S_271_Coriander_4_3,5.058944225311279,5.25,1,Coriander,Gross-Gerau,Insects,test
124,69_R4S_504_Express 617_12_4,5.24089777469635,3.25,2,Express 617,Gross-Gerau,Insects,val
125,62_R4S_539_Smaragd_11_2,5.243717511494954,4.166666666666667,3,Smaragd,Gross-Gerau,Insects,train
126,299_R4S_143_Robust_50_2,5.311404228210449,4.75,1,Robust,Gross-Gerau,Insects,train
127,151_R4S_145_Milena_26_6,5.320464611053467,5.0,2,Milena,Gross-Gerau,Insects,train
128,193_R4S_532_WINFRED_33_1,5.341561436653137,7.875,2,WINFRED,Gross-Gerau,Insects,train
129,88_R4S_172_Aragon_15_4,5.425910949707031,7.25,1,Aragon,Gross-Gerau,Insects,val
130,237_R4S_334_Sator Oetofte_40_4,5.5156896114349365,5.625,2,Sator Oetofte,Gross-Gerau,Insects,train
131,143_R4S_289_Start_24_2,5.519225358963013,5.0,2,Start,Gross-Gerau,Insects,test
132,38_R4S_292_V8_7_2,5.552621841430664,10.0,1,V8,Gross-Gerau,Insects,val
133,290_R4S_211_Lirabon_49_2,5.57529083887736,4.333333333333333,3,Lirabon,Gross-Gerau,Insects,test
134,198_R4S_496_DSV3_33_6,5.623119354248047,6.333333333333333,3,DSV3,Gross-Gerau,Insects,test
